miRNA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,e1036,e1048,e1059,e1044,e1026,e1051,e1041,e1037,e1007,e1045,e1043,e1047,e1029,e1046,e1008,e1019,e1033,e1017,e1049,e1034,e1061,e1015,e1004,e1024,e1039,e1003,e1014,e1001,e1052,e1038,e1020,e1042,e1060,e1054,e1023,e1063,e1062,e1005,e1010,e1055,e1050,e1027,e1006,e1011,e1013,e1009,e1030,e1012,e1040,e1002,e1053,e1032,e1058,e1016,e1056,e1057,e1035,e1031,e1022,e1021
hsa-miR-28-5p,1.534906077,1.299439678,1.299932959,1.238673683,1.551062132,1.535399357,1.353020099,1.518609572,1.204408628,1.518116292,1.500641022,1.686436775,1.269904889,0.829633891,1.596165353,1.423085241,0.610463998,1.37748874,1.32756091,1.423085241,1.080763065,1.32706763,1.353020099,1.270398169,1.551062132,1.081256345,1.125866286,0.829140611,0.73361628,1.238180402,0.610463998,1.299932959,1.081256345,0.73361628,1.269904889,1.081256345,0.907682953,0.973179214,0.73410956,0.973179214,1.35351338,0.907189672,1.204408628,0.73361628,1.204408628,1.166667111,0.829140611,0.73410956,0.73361628,1.270398169,1.167160392,1.32706763,1.125866286,1.443971562,1.081256345,1.501134302,0.907189672,1.463886067,1.238673683,0.907189672,0.907682953,0.907682953,1.166667111,0.973672494,1.030835235,1.126359566,0.907189672,1.270398169,1.081256345,1.167160392,0.140164931,1.270398169,1.167160392,1.482421904,1.500641022,1.080763065,1.203915347,1.463392786,1.35351338,1.166667111,1.125866286,1.518116292,1.080763065,1.32706763,0.973672494,1.203915347,0.610957279,1.125866286,1.353020099,0.829140611,1.204408628,1.126359566,0.829633891,1.167160392,1.125866286,0.829633891,1.269904889,1.624286584,1.030835235,1.482915184,1.32706763,0.907189672,1.37798202,1.567123843,0.907682953,1.030835235,1.463886067,1.551062132,1.125866286,1.32706763,1.401127368,1.35351338,1.740697236,1.662648174,1.37798202,1.299439678,0.907189672,1.204408628,1.551062132,1.019158002,0.774115467,1.441251361,1.393187182,1.01818322,1.4502732,0.96851365,1.27902429,1.264718194,1.303574503,0.913594847,0.848716115,1.176080297,1.042063836,1.191346062,0.941440765,1.222155923,1.140737343,0.812971776,1.083651325,1.062877075,1.175105515,1.175105515,1.278049508,1.638229717,1.508785947,1.01818322,0.96851365,1.158251973,1.433018273,1.191346062,1.123482416,1.532666562,1.251951404,1.222155923,1.595079473,0.573249129,0.774115467,1.019158002,1.265692976,1.747181798,0.849690897,1.383895631,1.476294105,1.019158002,1.764252536,1.613110361,1.718667911,0.813946558,0.731553196,1.32869386,1.467787831,1.019158002,1.103501963,1.4502732,1.222155923,1.290994351,1.403222792,1.315809949,1.175105515
hsa-miR-29a-3p,3.218980423,2.479079269,2.541999056,2.293054108,2.096724281,2.127033038,2.265226417,2.512251692,2.879610455,2.283130982,2.330406604,2.228577613,2.471193313,2.24286003,2.870359253,2.786877037,1.423939101,2.3748618,3.257600027,2.655008564,2.690115115,2.161904468,2.456610154,2.535107067,2.628397505,3.165232918,2.358482245,2.392548614,2.262604469,2.108322543,1.776056945,3.139752544,2.571035316,2.362638054,2.15853945,2.716832201,2.543363843,2.464775001,1.93171015,2.29302615,2.530916335,2.376864587,2.550121349,1.995074677,2.264737576,2.705799143,2.786219616,2.36381581,1.659320261,2.475423706,2.740386437,2.235432872,2.280619933,2.104151438,2.198450121,2.185759749,1.979775622,3.5452897,2.576103396,2.434598874,2.431459935,2.532317946,1.990037313,2.045284684,2.509304322,1.919663585,2.251948055,2.595779374,2.100212287,1.8879247,2.033315652,2.228577613,2.159153711,2.309795236,2.530450436,1.853236795,2.590747482,2.380841435,2.475423706,2.288108017,2.055544341,2.339249011,2.498908741,2.337055985,1.976681271,2.1412931,2.448923741,2.62948683,2.438062039,2.178332591,2.285520777,2.036150747,2.092220168,2.844166863,2.312136524,2.348857682,2.275551853,2.550121349,2.556770729,3.745444407,2.599023834,2.309795236,2.442026032,2.609948158,3.008018206,2.523836481,2.543363843,2.488349038,2.29302615,2.456610154,2.998101571,2.697542272,2.676324897,2.594576544,2.653965709,2.545366723,2.314464695,2.40760126,2.608284995,2.731696385,2.195260283,2.490013394,2.476631508,2.23901225,2.90727728,2.130162873,2.507862404,2.586727374,1.915804618,1.928055821,2.37575465,2.039965706,2.064389996,2.538015573,2.457779491,2.617343966,2.749998189,1.915804618,2.338060876,2.457779491,2.48153965,2.497162791,3.297725405,2.787184244,3.034865387,2.30254367,2.816294283,2.323150459,2.50907588,2.648793614,2.336841231,2.256880855,2.38739339,2.740688157,2.373241638,2.027285746,2.731935868,2.299402388,2.343661908,2.554218698,2.321141773,2.784413978,3.014513075,2.518677956,2.730461974,2.581767539,2.646766205,1.954791595,2.1150242,2.084814371,2.624710826,2.242546769,2.477863118,2.224854066,2.279205809,2.269928026,2.494791126,2.834565747,2.149652739
hsa-miR-30a-3p,1.924523302,1.834728413,1.739634363,1.558323539,1.558104259,1.601175995,1.520475667,1.968759119,1.575977256,1.794934288,1.702324706,1.871386585,1.721267413,1.340406721,1.773574094,1.880035993,1.083002785,1.745298929,1.888515794,2.030411371,2.042122669,1.600956715,1.639943098,1.830169125,1.756831771,1.721486693,1.510533713,1.558104259,1.675703625,1.433694421,1.258348603,1.844349281,1.640162378,1.396065829,1.60904024,1.468528651,1.815508196,1.632421934,1.468528651,1.745298929,1.871386585,1.200602151,1.584541021,1.340187441,1.549218866,2.148510898,1.408975922,1.696040766,1.239943442,1.675922906,2.155576591,1.616975434,1.616975434,1.617194714,1.445762552,1.592938489,1.309284583,1.825337165,1.520694947,1.025256333,1.601175995,1.409195203,1.292963552,1.382977721,1.409195203,1.468528651,1.762484872,1.810508649,1.500577087,1.815508196,1.292963552,1.409195203,1.293182832,1.479258208,1.848755243,1.382758441,1.825117884,1.567021194,1.795153568,1.457076116,1.408975922,1.433694421,1.727401644,1.632421934,1.409195203,1.292963552,1.575977256,1.908795895,1.616975434,1.520475667,1.549218866,1.479477488,1.457295396,1.839674035,1.600956715,1.109439546,1.479258208,1.789911613,1.904992301,2.488027106,2.014800573,1.675703625,1.60925952,1.708950859,1.640162378,1.669003462,2.45192259,1.624767645,1.632421934,2.021023069,1.853550819,1.733669357,1.757051052,1.601175995,1.647554968,1.762484872,1.325011989,1.757051052,1.789692333,1.210062731,1.652708206,1.485666737,1.369473919,1.369473919,1.66969582,2.059852277,1.907156396,1.485666737,1.459408477,1.334666078,1.686042237,1.577051707,1.555919289,1.616593242,1.635027031,1.29711801,1.745879106,1.79844397,1.686042237,1.652708206,1.369473919,1.255836441,1.510423684,2.079554648,1.716993162,1.369473919,1.66969582,1.556058341,2.10467059,1.510423684,1.459269425,1.577051707,1.71685411,1.834063647,1.634887979,1.159047525,1.533841746,1.485527685,1.555919289,1.745740054,1.669556768,2.001876954,2.282456905,1.994072622,1.994211674,1.772958464,1.759491325,1.555919289,1.401572206,1.459269425,1.986264138,1.459269425,1.485666737,1.66969582,1.210201783,1.29711801,1.716993162,1.635027031,1.716993162
hsa-miR-30a-5p,2.547518505,2.515057383,2.21498295,2.141399192,2.188579604,2.312903478,2.244666162,2.440325024,2.151313624,2.345085797,2.408877658,2.458330853,2.369388498,1.929925156,2.379123873,2.633725322,1.845545118,2.448344354,2.478684411,2.620721558,2.586127311,2.287201479,2.68944928,2.474071973,2.611570865,2.60844687,2.45807241,2.435022559,2.445052286,1.94574033,1.995364993,2.441993338,2.387015415,2.279993643,2.314885344,2.242286928,2.596976544,2.363440006,2.031582491,2.287201479,2.660623077,1.832067182,2.53588851,2.091597617,2.326174026,2.839218201,2.445052286,2.299211571,1.818154401,2.453494255,2.860801649,2.375256055,2.490489938,2.349490992,2.176689109,2.451869926,2.182547914,2.687828597,2.287459923,1.578579002,2.568135126,2.303824009,2.185574304,2.022869895,2.076588667,2.185832747,2.347164157,2.483248039,2.113789201,2.228850988,1.935091424,2.099291742,2.052623679,2.325915583,2.664357799,2.113530757,2.830519125,2.524780216,2.607313469,2.277564009,2.197471854,2.510822402,2.56413201,2.595554108,2.262949985,2.091597617,2.451869926,2.756998241,2.577706369,2.338789936,2.431885247,2.255316887,2.197730297,2.67151653,2.325915583,2.084289922,2.467585858,2.477152407,2.643227125,3.348850797,2.916075802,2.416006064,2.587575435,2.600449788,2.697143404,2.299211571,3.134074871,2.621561864,2.351291067,2.842517825,2.610704774,2.824650662,2.797776666,2.542533616,2.446959905,2.764940616,2.371353234,2.620721558,2.74972285,2.150843263,2.693769158,2.264071737,2.473491749,1.917191499,2.597356042,2.482429591,2.59566408,2.044144323,2.227155982,2.139910178,2.608864617,2.260142938,2.268472725,2.369085596,2.315115332,1.985258786,2.300034507,2.46699385,2.453701014,2.365797607,2.015691974,1.912563937,2.347258004,2.682173397,2.439991409,1.764493006,2.836206469,2.282422706,2.640173713,2.523418861,2.43038829,2.304109678,2.431810408,2.823066468,2.302204226,1.989436719,2.559835655,2.471160093,2.396334158,2.598582671,2.393243681,2.814535082,3.135930205,2.774273774,2.886146909,2.514114241,2.527113605,2.225140214,2.505807059,2.382251705,2.913395804,2.276646806,2.394535722,2.478621434,1.943973374,2.199084276,2.630110429,2.499775232,2.39607823
hsa-miR-30c-5p,2.436813593,2.183105616,2.062094224,2.295610234,2.459886701,2.372045589,2.295534951,2.361305082,2.408624318,2.312926709,2.442249487,2.532875748,2.292991775,1.844648373,2.598857701,2.440520457,1.773646211,2.374086478,2.43506148,2.637155414,2.431307859,2.317768837,2.199278245,2.575833295,2.569114098,2.433226258,2.303075153,2.471814574,2.189648091,2.476826606,1.990829621,2.41056774,2.13803141,2.166298607,2.494718244,2.515018005,2.308104524,2.676361703,2.083418216,2.458155289,2.559711376,2.087483291,2.483494693,1.990829621,2.313001993,2.429456781,2.044161199,2.277482657,2.238675651,2.369918916,2.661585666,2.386568636,2.700681637,2.623218452,2.390725129,2.697791346,2.19609218,2.636011157,2.566502704,2.091584029,2.473567057,2.298138405,2.517971171,2.264048208,2.511968001,2.173175998,2.523964609,2.515018005,2.447692571,2.186464623,1.935815234,2.532875748,2.440520457,2.791748315,2.808156883,2.352439259,2.398697478,2.525449962,2.583672364,2.280044451,2.418179188,2.361229799,2.669000377,2.578387001,2.406672042,2.456416853,2.244503018,2.586178557,2.470130786,2.16285663,2.408624318,2.313001993,2.232920589,2.613668779,2.458155289,1.595663233,2.433150975,2.676436987,2.423930366,2.951541532,2.63822134,2.433150975,2.429532065,2.522549374,2.396774978,2.587538771,2.682647585,2.429456781,2.686663253,2.54572176,2.715284542,2.791026345,2.799715604,2.751776691,2.733006224,2.396699694,2.173100715,2.48021097,2.800421586,2.330740109,2.427236068,2.702288854,2.376760924,2.182252478,2.534384282,2.379493369,2.490054354,2.464764545,2.486709239,2.258266835,2.082867199,2.286004181,2.153935257,2.414828937,2.508643638,2.142340371,2.135326254,1.842805065,2.194799425,2.250909215,2.472568775,2.459105165,2.475872034,2.679414519,2.516723446,2.413569001,2.108619295,2.30878887,2.54310356,2.551371445,2.352977034,2.60304829,2.817507225,2.388927036,2.878823862,2.035496163,2.118517196,2.519860694,2.44418984,2.769106396,2.599736846,2.806152591,2.572175035,2.302501889,2.607825032,2.888342759,2.735487438,2.461522268,2.261685237,2.292676773,2.638553572,2.397001701,2.371245222,2.532456196,2.636263659,2.101048793,2.375388389,2.423550084,2.263456163
hsa-miR-30d-5p,3.652007195,3.821163611,3.480330104,3.491474745,3.739690393,3.901337241,3.74115833,3.670732174,3.505144752,3.702277683,3.898879162,3.750000057,3.680725809,3.764605434,3.783087692,3.759029453,3.772964224,3.724007058,3.563252046,3.698298948,3.377645897,3.714430049,3.966970516,3.593257583,3.896681707,3.613817485,3.864156162,3.950077478,4.115563922,3.612482486,3.693923767,3.523530239,3.463052507,4.107245094,3.689859015,3.646680652,3.813932546,3.972502351,3.410456584,3.774751328,3.902026355,3.510757849,3.816589317,3.839161955,3.636395692,3.924257698,3.956344184,3.534121182,3.65172245,4.002806369,3.88163542,3.984760621,4.016286197,3.931254587,4.125220853,3.934066199,3.895713414,3.839912149,3.903823452,3.517425222,4.096943143,3.583041979,3.968519336,3.836224908,3.511885856,3.927676616,3.938679135,3.681476762,3.900647022,3.671004085,3.976314891,3.605035581,3.79254479,3.998930761,3.978586305,3.748423826,3.950836215,4.076245024,4.012174568,3.676713051,3.70756366,4.07906782,4.001212619,3.956811696,3.683417827,3.776033463,3.723404052,3.997402772,3.913386747,4.085352208,3.939634902,3.882190429,4.055291079,3.762046521,3.657006882,2.898651658,3.722559865,3.863602096,4.013034796,3.913111203,3.922844235,4.049556111,3.516192138,4.084543134,3.836533388,3.515152142,3.75969355,4.002769158,3.660183909,3.960209235,3.718807063,4.123578129,4.11969925,4.063011292,4.031968337,4.154077727,4.133875908,3.914039348,4.01269014,3.616531823,4.001129212,3.937868515,3.91815367,3.370912503,3.819488754,3.595779759,3.734125493,3.431990236,3.697249556,3.693562669,4.006991529,3.900561477,3.667767022,3.704131192,3.515295599,3.563230162,3.762127822,3.72380952,3.761418503,3.849415912,3.693583949,3.518046803,3.607572676,3.966910985,3.90051423,3.274008642,3.811396228,3.716008484,3.727973155,3.784916128,3.703184685,4.023862208,3.940805775,4.003729173,4.004645549,3.529669187,3.963766014,3.874216537,3.986111807,4.028430876,3.82075431,4.051972782,3.96975121,3.830475515,4.307042282,4.039944669,4.245932294,3.880982078,3.673051298,3.949509731,3.956990807,3.744464601,3.39604398,3.945202038,3.642304897,3.611693162,3.844871876,3.915716308,3.713377101
hsa-miR-30e-3p,2.439653257,2.415163871,2.275644011,2.360683239,2.459073205,2.479085277,2.323805784,2.508293813,2.431972858,2.435664751,2.442292407,2.57917431,2.389237825,1.82316519,2.618008477,2.487460074,1.490302038,2.261076072,2.422465902,2.470548751,2.624154345,2.208513469,2.335685174,2.385248248,2.560493098,2.243913342,2.263053956,2.26893506,2.14111375,2.378730047,1.829472097,2.45168146,2.426565373,2.058432162,2.358527117,2.216342137,2.252062078,2.398049873,2.051104207,2.221710163,2.454244113,2.14628406,2.402815716,1.932304274,2.329620291,2.372611522,2.005188167,2.038196534,2.125229775,2.407100625,2.363829561,2.323805784,2.410947085,2.493346399,2.214148304,2.45039454,1.755146093,2.473004626,2.312350266,2.052116962,2.239781943,2.157938544,2.1305881,2.132230347,2.479085277,2.084771826,2.228163656,2.45039454,2.425203102,2.277553545,1.87446579,2.233511535,2.160429009,2.579222928,2.532433098,2.100279532,2.210740458,2.240794698,2.17748013,2.045710236,2.070798182,1.990811082,2.282360798,2.208513469,1.789995405,2.23452429,2.222859058,2.163918277,2.435664751,2.042471712,2.279454866,2.147833958,1.939554496,2.419711647,2.257093556,2.099266777,2.226022942,2.471778394,2.12421702,2.602618637,2.448822163,2.073836383,2.44651115,2.3622592,2.17986319,2.332994783,2.431972858,2.499012422,2.442292407,2.14111375,2.56943699,2.346240911,2.567463521,2.460586494,2.44390314,2.204025548,2.03261131,2.196194308,2.467851919,2.191305001,1.997141497,2.511251561,2.277818448,2.169687517,2.376374003,2.281082531,2.257879307,2.300139005,2.138672902,2.037084607,1.956143277,2.2969222,1.960050831,2.214125562,2.42719097,2.100090021,2.221711711,2.214125562,2.236475122,2.079344305,2.327158049,2.243661978,2.371188613,2.469177178,2.622558301,2.264495637,2.221711711,2.394022777,2.69870941,2.232833851,1.960050831,2.362719937,2.475246034,2.138672902,2.724637534,1.661734977,1.990587112,2.096873215,2.218494905,2.380814249,2.250994434,2.487120499,2.639167616,2.290668027,2.685300849,2.74496974,2.437406198,2.019141287,1.997141497,2.321025642,2.352504709,2.121409909,2.068563674,2.277818448,2.524025345,2.152253382,2.210279146,2.433962039,2.124626714
hsa-miR-30e-5p,3.181765468,3.004816434,2.746671504,2.711873337,2.56820169,2.704840016,2.729642723,2.487022185,3.123312338,2.575993484,2.672240381,2.718791542,2.710426102,2.688942,3.032577261,2.718791542,2.841058018,2.726950403,2.80423696,2.984133807,2.791915827,2.589292783,2.994903584,2.838673735,3.028626831,2.584183423,2.984752667,3.03060666,3.240561477,2.648531764,2.345674636,2.783557643,2.55488582,3.148737007,2.793072307,2.482245944,3.027935739,3.100255856,2.092527881,2.575993484,3.002763965,3.007606495,2.805356678,2.653381065,2.519025032,2.850236269,3.32817888,2.411851651,2.227388733,3.08064701,2.701993588,2.936614547,2.780173604,2.720161697,3.309205135,2.855887559,2.145005751,2.915050207,2.550821434,2.682865177,2.878114247,2.55488582,2.506957149,2.330795244,2.740198286,2.80423696,2.79652288,2.720161697,2.985596414,2.247497767,2.971332719,2.883725297,2.939354409,3.048019813,3.195803693,2.45887208,3.003414466,3.443216353,2.799728194,2.890614902,2.638663,3.420017857,3.108001753,2.884147344,2.287404066,2.497767812,2.747954336,2.64526771,3.113448901,3.263183282,2.96770198,2.925277146,3.033838451,2.901908438,2.846181631,3.085861929,3.021287071,3.142880179,3.109926393,3.112637709,2.964459513,3.268091786,2.946621514,3.227427685,2.505605083,3.013150062,2.6568233,3.206794767,2.858230699,2.688818696,3.17671366,3.124365124,3.281494895,3.219526654,3.281132224,3.34321381,3.374695826,2.933614554,3.16052015,2.716089396,3.303470677,2.890075325,2.8130855,2.730108212,2.960701782,2.188325868,2.851837374,2.709936022,2.38167517,2.691700743,2.967537954,2.424448712,2.297082329,2.697023813,3.030263813,2.453359457,2.75332157,2.199393285,2.684703304,2.815265084,3.169681129,2.839964537,2.902251543,2.740106385,3.1519011,2.996213326,3.176273882,2.690746488,2.844014469,2.732713514,2.741514238,3.003756121,3.370903468,3.300763815,2.879582123,2.995862034,2.858378744,2.90159848,2.700383377,2.944361444,3.030599421,3.255808722,3.099988419,3.020541025,3.18353947,3.269170782,3.023459048,3.338448471,2.856171854,2.810606692,2.862979317,2.959191378,2.661733896,3.075001767,3.022755647,2.809185216,2.943615418,3.14065695,2.856171854
hsa-miR-32-5p,1.640473714,1.768189817,1.659544384,2.018867059,1.427857462,1.199766173,1.553106848,1.376295267,2.255944344,1.60972864,1.60972864,1.678073746,1.803605619,1.931960662,1.872658175,1.803323132,1.540841971,1.565035657,2.153347341,2.19122986,1.993531904,1.036916755,1.565035657,1.842337965,1.650257819,1.443408513,1.35804839,1.251328368,1.394350602,1.226443062,0.840134041,1.487722085,2.00624663,1.036916755,1.817002809,1.141630034,1.443408513,1.659826871,0.294430733,1.274867847,1.609446153,1.427857462,0.839851554,0.29471322,0.949267401,1.141912521,1.932243149,1.109365326,0.29471322,1.501544652,0.772738307,1.171950245,1.074799274,1.141630034,1.823267428,1.141630034,0.596491699,1.936993948,0.693360183,1.251328368,0.995138664,1.318159128,0.471242314,-0.007347747,1.552824361,0.995138664,1.45896886,1.668907633,1.394068115,0.693360183,1.394350602,1.514941842,1.074516787,0.949549888,1.45896886,0.840134041,1.109647812,1.932243149,1.171667758,1.830000023,0.840134041,1.141912521,1.20004866,0.898270179,0.693360183,1.036916755,1.357765904,0.773020793,1.036916755,1.45896886,1.564753171,0.839851554,0.949267401,2.121784662,1.427857462,2.108489756,1.338695235,1.796466702,1.296917144,2.073359876,1.376577754,1.036916755,1.796466702,1.659544384,1.199766173,1.823267428,1.427574975,1.553106848,1.297199631,1.297199631,2.115187955,1.296917144,1.171667758,1.199766173,1.501544652,1.297199631,1.141912521,0.596209212,1.338695235,0.798751389,1.354473249,0.866583482,1.695648949,1.096225835,1.552293145,0.037518016,1.550137778,1.191297343,0.332837094,0.721072311,1.059154171,0.503432312,0.626000803,0.923475249,1.822542913,0.50558768,1.500586701,1.018546757,1.334653146,1.13032846,2.059121824,1.668731239,1.408937343,1.216638959,1.639997519,1.899144732,1.888219637,1.244623772,1.511958037,0.866583482,1.094070468,1.389389546,1.675738705,1.865491296,1.056998803,1.550137778,1.13032846,1.406781976,0.626000803,1.702101053,1.726926835,1.562140132,1.68686399,1.371256793,1.945111404,2.11786199,1.289856684,1.947770273,1.292012051,1.266821054,1.68686399,1.585175762,1.712693436,1.935316596,1.949925641,1.13032846,1.80272281,1.695648949,1.373412161
hsa-miR-92a-3p,3.682273486,3.873085871,3.683605553,3.68643283,3.722557164,3.819164868,4.047795936,3.821883844,3.490385297,3.671998295,3.851138734,3.519633615,3.653981274,4.455430662,3.718759088,3.872225123,4.480999803,3.699433789,3.55232437,4.064887652,3.348761055,3.770821841,3.702395708,3.566081021,3.726992693,3.851373764,3.953613785,4.297357105,4.42912354,3.439532125,3.990161478,3.461078505,3.469615025,4.459101853,3.950492238,3.559614102,4.063880851,4.376621705,3.435891464,4.114748278,3.979181784,3.531689937,3.714572053,4.164372463,3.536450874,4.071655404,4.301673983,3.87837999,3.75856155,4.343390498,3.908404746,4.212096682,4.028178619,3.884250584,4.424080442,3.80033019,4.527394936,3.884833099,3.885479379,3.683127254,4.295831531,3.773046517,4.329373882,3.845513176,3.499820516,4.369220847,4.207545877,3.915192624,4.159918988,3.975403832,4.508715665,3.766473716,3.839929112,3.769525442,4.000109157,4.121322939,4.273944721,4.319449155,3.937143592,3.92901969,3.697172621,4.476774656,4.204888194,4.113503841,4.103430601,3.931604342,3.968959346,4.194860513,3.827061726,4.500122607,4.086718878,4.099093592,4.462831186,3.869482402,3.788806323,2.962726615,3.547512159,3.91776945,4.500033015,4.124859361,4.028688641,4.498737606,3.40333229,4.384349135,3.713888907,3.727909417,3.887476471,3.765611749,3.706547479,4.452850703,3.748988049,4.120668599,4.231389988,4.043787374,4.217444502,4.359470923,4.358174928,3.885995679,3.953502705,3.846876514,4.43555967,4.130449089,3.940467482,3.323865102,3.746715801,3.661420399,3.775541251,3.657668295,3.522319003,3.94223506,4.361516701,3.862791007,3.795525126,3.85236953,3.976600596,3.659087504,4.235492226,3.697531037,3.737780107,4.176206134,4.10093794,3.62658922,3.988963705,4.093555141,3.908561137,3.904982727,4.041288085,3.815297492,3.532373482,3.988231968,3.83034025,4.383998892,4.485261224,4.199820636,4.100169496,4.161792582,4.283332265,4.01208932,3.900508016,3.889571252,4.276035219,4.28780518,4.038217357,4.065458433,4.178860915,4.204492882,4.223986556,4.060658442,3.944600742,3.751384458,3.733404104,4.051104276,3.420022024,4.07136981,3.802974068,3.125682888,4.028045655,3.970795294,3.848362419
hsa-miR-92b-3p,1.25267114,1.399916255,1.307725551,1.153041906,1.021646526,1.281082294,1.508227357,1.846443866,1.021575547,0.966521136,1.356420569,1.021575547,1.222077353,1.846443866,1.30779653,1.580768828,1.982410043,1.30779653,1.917019893,1.685995279,0.827616248,1.25267114,1.52380759,1.021575547,1.281153273,1.972145283,1.475183551,1.706208164,1.880096536,0.827616248,1.399916255,1.222006375,0.735425544,1.809957594,1.457613785,1.070199587,1.734619319,1.734690298,1.113695273,1.567303276,2.118357037,0.827616248,1.021575547,1.675614378,0.966450158,1.761333554,1.752642134,1.188962569,1.281153273,1.853382301,2.802573647,1.922946675,1.49203598,1.618903046,1.794306382,1.419987183,2.292994822,1.725341913,2.096036618,1.189033547,1.992287189,1.252600161,1.972216261,1.593875554,0.902812565,1.89893698,1.618974025,2.53794394,1.725341913,1.457542806,1.853453279,1.419987183,1.35634959,1.25267114,1.567303276,1.49203598,1.817532617,1.846514844,1.853382301,1.49203598,1.189033547,1.951040994,1.642570572,1.734690298,1.43919191,1.420058161,1.491965002,1.824971146,1.356420569,1.940031617,1.664820013,1.457542806,1.945502026,1.419987183,1.189033547,0.449275541,1.021646526,1.824900168,2.096036618,1.725341913,1.618974025,1.886497086,0.966450158,1.972145283,1.491965002,1.252600161,1.553236815,1.378740988,1.222077353,1.98741407,1.475112572,1.6755434,1.725341913,1.457542806,1.809886615,1.866989809,1.794377361,1.491965002,1.457613785,1.280914213,1.943909683,1.633190342,1.693009523,1.067233277,1.296785689,1.113435662,1.340733395,1.194869851,1.213340106,1.465225217,1.817501345,1.381385168,1.368192841,1.368436128,1.527735285,1.394486762,1.740131142,1.771298959,1.265033098,1.921920272,1.685906247,1.175702443,1.546902693,1.582951702,1.625192129,1.381628455,1.92639498,1.231162147,1.06698999,1.633190342,1.406784262,1.964743114,2.082184756,1.806338785,1.656212621,1.663736848,2.041503144,1.600169487,1.656212621,1.582951702,1.91260753,1.800420847,1.700014821,1.678458923,1.859848866,1.822991951,2.082184756,1.497312267,1.431216694,1.194626564,2.095368259,1.454062657,1.155783184,1.527735285,1.135050671,0.430984987,1.517873304,1.591876842,1.265033098
hsa-miR-93-5p,2.592939147,2.563698548,2.331084403,2.261864767,2.233982224,2.265595615,2.253461272,1.891002775,3.026305958,2.217756443,2.307224139,2.343716773,2.237947299,2.106313507,2.598212803,2.210260627,2.20091239,2.387266197,2.663952042,2.590234097,2.395634325,2.146149333,2.293514423,2.250479514,2.378736616,2.13217485,2.29001952,2.544389676,2.685178995,2.257256171,2.411909889,2.324630231,2.067361029,2.711643446,2.401126358,2.13217485,2.425875628,2.74421361,1.670906963,2.048709825,2.340592359,2.528311435,2.111608216,2.131328854,1.854892681,2.183401076,2.772196447,1.864200454,1.997393982,2.443612794,2.043457753,2.425029632,2.160489063,2.230827261,2.765911596,2.38244413,2.089191947,2.373803407,2.043457753,2.345973266,2.184247072,2.390919205,2.054724924,1.711745475,2.318080439,2.218602439,2.317234442,2.258102167,2.754994921,1.932350916,2.330238406,2.622870094,2.352959679,2.487604953,2.574891625,2.072294238,2.317234442,2.702076703,2.17522425,2.505203412,2.279365922,2.813797146,2.567461149,2.33659971,2.004989772,2.187844358,2.184247072,2.042611757,2.57856055,2.767455352,2.467777437,2.472455818,2.727116736,2.418050595,2.345973266,2.106313507,2.317234442,2.492916673,2.492916673,2.23482822,2.183401076,2.653958763,2.242723123,2.629444236,1.845384725,2.549165502,2.254307268,2.471609822,2.569330509,2.29001952,2.627809842,2.470122816,2.640718874,2.616196716,2.662440577,2.800729114,2.819130177,2.294360419,2.378736616,2.317543595,2.758817384,2.519856074,2.343136919,2.20646495,2.340087767,1.877945415,2.426254074,2.279148841,1.909799564,2.185145984,2.273786143,1.838307326,1.910307605,2.176781176,2.747945431,2.039958525,2.286191541,1.641105298,2.018710209,2.363145179,2.750480095,2.437657367,2.602627193,2.268310958,2.512892535,2.559319099,2.32844679,2.165216938,2.036240203,2.359512974,2.141266588,2.573939171,2.878455924,2.606636499,2.326399033,2.335845916,2.204338468,2.30765949,2.036240203,2.299236419,2.429981081,2.562022035,2.430358271,2.494493102,2.493897489,2.757715508,2.498696956,2.829077245,2.562886413,2.370164642,2.33080162,2.620749166,2.271078216,2.765367073,2.761285815,2.263768258,2.276476274,2.759092391,2.471765246
